
2024/02/08 (20:53:11) | ===> btop++ v.1.3.0
2024/02/08 (20:53:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/08 (20:53:11) | ===> btop++ v.1.3.0
2024/02/08 (20:53:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/08 (20:53:11) | ===> btop++ v.1.3.0
2024/02/08 (20:53:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/08 (21:33:28) | ===> btop++ v.1.3.0
2024/02/08 (21:33:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/08 (21:33:29) | ===> btop++ v.1.3.0
2024/02/08 (21:33:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/08 (21:33:47) | ===> btop++ v.1.3.0
2024/02/08 (21:33:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/09 (09:19:59) | ===> btop++ v.1.3.0
2024/02/09 (09:19:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/09 (16:17:33) | ===> btop++ v.1.3.0
2024/02/09 (16:17:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/13 (22:41:25) | ===> btop++ v.1.3.2
2024/02/13 (22:41:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/13 (22:41:25) | ===> btop++ v.1.3.2
2024/02/13 (22:41:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/17 (00:44:12) | ===> btop++ v.1.3.2
2024/02/17 (00:44:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/18 (14:40:33) | ===> btop++ v.1.3.2
2024/02/18 (14:40:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/18 (15:18:44) | ===> btop++ v.1.3.2
2024/02/18 (15:18:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/21 (17:36:42) | ===> btop++ v.1.3.2
2024/02/21 (17:36:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/22 (18:58:11) | ===> btop++ v.1.3.2
2024/02/22 (18:58:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/24 (11:00:32) | ===> btop++ v.1.3.2
2024/02/24 (11:00:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/24 (11:00:52) | ===> btop++ v.1.3.2
2024/02/24 (11:00:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/24 (11:01:36) | ===> btop++ v.1.3.2
2024/02/24 (11:01:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/06 (21:48:38) | ===> btop++ v.1.3.2
2024/03/06 (21:48:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/06 (22:00:25) | ===> btop++ v.1.3.2
2024/03/06 (22:00:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/07 (15:41:32) | ===> btop++ v.1.3.2
2024/03/07 (15:41:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/12 (23:38:49) | ===> btop++ v.1.3.2
2024/03/12 (23:38:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/13 (23:48:05) | ===> btop++ v.1.3.2
2024/03/13 (23:48:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/13 (23:48:07) | ===> btop++ v.1.3.2
2024/03/13 (23:48:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/13 (23:48:08) | ===> btop++ v.1.3.2
2024/03/13 (23:48:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/18 (19:56:51) | ===> btop++ v.1.3.2
2024/03/18 (19:56:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/19 (00:34:39) | ===> btop++ v.1.3.2
2024/03/19 (00:34:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/19 (00:38:05) | ===> btop++ v.1.3.2
2024/03/19 (00:38:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/19 (00:50:14) | ===> btop++ v.1.3.2
2024/03/19 (00:50:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/19 (00:50:14) | ===> btop++ v.1.3.2
2024/03/19 (00:50:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/19 (00:50:15) | ===> btop++ v.1.3.2
2024/03/19 (00:50:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/22 (23:23:02) | ===> btop++ v.1.3.2
2024/03/22 (23:23:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/28 (00:35:07) | ===> btop++ v.1.3.2
2024/03/28 (00:35:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/31 (15:16:15) | ===> btop++ v.1.3.2
2024/03/31 (15:16:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/31 (17:56:31) | ===> btop++ v.1.3.2
2024/03/31 (17:56:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/31 (20:28:49) | ===> btop++ v.1.3.2
2024/03/31 (20:28:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/02 (03:05:47) | ===> btop++ v.1.3.2
2024/04/02 (03:05:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/02 (03:07:12) | ===> btop++ v.1.3.2
2024/04/02 (03:07:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/02 (14:15:48) | ===> btop++ v.1.3.2
2024/04/02 (14:15:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (01:04:20) | ===> btop++ v.1.3.2
2024/08/03 (01:04:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (01:04:47) | ===> btop++ v.1.3.2
2024/08/03 (01:04:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (01:11:39) | ===> btop++ v.1.3.2
2024/08/03 (01:11:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (01:47:05) | ===> btop++ v.1.3.2
2024/08/03 (01:47:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (01:53:54) | ===> btop++ v.1.3.2
2024/08/03 (01:53:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (01:55:04) | ===> btop++ v.1.3.2
2024/08/03 (01:55:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (01:55:54) | ===> btop++ v.1.3.2
2024/08/03 (01:55:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (01:56:12) | ===> btop++ v.1.3.2
2024/08/03 (01:56:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

